user_id,app_name,age,gender,country,urban_rural,income_level,employment_status,relationship_status,has_children,exercise_hours_per_week,sleep_hours_per_night,diet_quality,smoking,perceived_stress_score,daily_steps_count,likes_given_per_day,comments_written_per_day,dms_sent_per_week,followers_count,following_count,uses_premium_features,account_creation_year,privacy_setting_level
1,Instagram,51,Female,India,Rural,High,Retired,Single,No,7.2,7.7,Good,No,3,8107,28,5,12,374,647,No,2015,Private
2,Instagram,64,Female,United Kingdom,Urban,Middle,Full-time employed,Divorced,No,10.9,8.6,Very poor,No,1,8059,68,15,18,2585,3511,No,2018,Public
3,Instagram,41,Female,Canada,Urban,Middle,Student,In a relationship,No,5,6.7,Good,No,4,7872,25,6,12,3414,6761,No,2011,Public
4,Instagram,27,Non-binary,South Korea,Urban,Middle,Unemployed,In a relationship,No,10.6,6.5,Poor,Yes,18,7801,132,36,31,617,1193,No,2019,Private
5,Instagram,55,Male,India,Urban,Upper-middle,Full-time employed,Single,No,7.7,6.8,Average,No,19,8005,103,36,29,1157,1072,Yes,2017,Public
6,Instagram,20,Male,United States,Rural,Middle,Full-time employed,Married,Yes,5.2,5.8,Poor,No,1,7964,55,9,13,259,534,No,2013,Friends only
7,Instagram,33,Non-binary,Japan,Urban,Lower-middle,Freelancer,In a relationship,No,6.5,7.7,Poor,No,23,7861,80,20,18,4373,8085,No,2012,Friends only
8,Instagram,51,Female,United Kingdom,Urban,Middle,Full-time employed,Single,Yes,10.5,7.7,Average,No,33,7932,158,50,26,190,77,No,2014,Public
9,Instagram,31,Female,United Kingdom,Urban,Upper-middle,Retired,Single,No,4.2,8.3,Poor,No,12,8127,90,16,20,904,1129,No,2011,Public
10,Instagram,35,Male,United States,Urban,Low,Student,Married,No,2.1,6.5,Excellent,No,25,8144,131,27,22,170,247,No,2011,Friends only
11,Instagram,23,Male,India,Suburban,Low,Full-time employed,In a relationship,Yes,1.5,6.5,Poor,Former,14,8009,139,39,28,946,551,No,2016,Public
12,Instagram,23,Male,United States,Urban,High,Full-time employed,Divorced,Yes,3.3,7.5,Poor,No,15,7925,78,22,22,944,1488,No,2012,Friends only
13,Instagram,36,Female,Australia,Urban,Middle,Full-time employed,Single,Yes,10.1,6.6,Very poor,No,7,8006,18,8,13,386,792,No,2021,Public
14,Instagram,65,Male,Japan,Urban,Middle,Full-time employed,Widowed,No,8.7,7.3,Average,No,7,8120,32,8,8,802,1670,Yes,2018,Friends only
15,Instagram,48,Female,United Kingdom,Urban,Middle,Full-time employed,Single,Yes,9.5,5.3,Very poor,No,31,7973,184,68,42,14566,10000,No,2022,Private
16,Instagram,52,Female,Japan,Urban,High,Freelancer,Single,No,10.7,7.2,Poor,No,2,8022,31,6,15,10965,10000,No,2021,Private
17,Instagram,36,Male,Brazil,Urban,Lower-middle,Full-time employed,Single,Yes,2.8,8.2,Good,No,37,8120,145,48,36,414,482,No,2021,Public
18,Instagram,15,Male,Brazil,Urban,Middle,Retired,Single,Yes,11.6,6.2,Average,No,40,7981,271,80,60,595,1334,No,2013,Public
19,Instagram,34,Female,Brazil,Urban,Low,Retired,In a relationship,No,7.3,6,Excellent,No,20,8194,150,29,29,812,1307,No,2016,Friends only
20,Instagram,65,Prefer not to say,Brazil,Suburban,Low,Full-time employed,Married,Yes,8,8,Average,Yes,12,8048,70,21,20,1499,3463,No,2025,Private
21,Instagram,14,Male,Other,Urban,Lower-middle,Retired,Single,No,3.6,6,Good,No,7,8006,99,30,23,1334,1930,No,2023,Public
22,Instagram,36,Male,India,Urban,Middle,Full-time employed,Married,No,10.6,7.9,Average,No,6,7979,29,6,6,4391,3451,No,2011,Private
23,Instagram,56,Male,India,Urban,Lower-middle,Student,Single,No,9.6,7.7,Excellent,No,10,8043,102,47,21,2238,1279,No,2014,Friends only
24,Instagram,42,Prefer not to say,United States,Suburban,Lower-middle,Full-time employed,Single,No,5.5,5.9,Excellent,No,25,7925,134,51,25,7667,10000,No,2020,Public
25,Instagram,50,Female,United States,Urban,Middle,Full-time employed,Single,No,9.8,5.6,Poor,No,22,7977,59,10,10,847,1015,No,2021,Friends only
26,Instagram,14,Female,India,Urban,Low,Full-time employed,Divorced,No,6.2,6.8,Good,Yes,14,7994,137,46,28,1135,950,No,2024,Private
27,Instagram,33,Female,United States,Urban,Low,Freelancer,Married,No,7.8,7.9,Average,No,30,8072,148,37,29,125,306,No,2011,Friends only
28,Instagram,45,Female,Germany,Urban,Lower-middle,Full-time employed,In a relationship,Yes,4,7.8,Average,No,0,7941,32,3,7,988,1324,No,2022,Public
29,Instagram,24,Male,India,Urban,Middle,Full-time employed,Married,Yes,6.8,6.2,Good,No,30,7925,188,60,39,244,471,No,2015,Private
